swell1_height-surface,swell1_direction-surface,swell1_period-surface,swell2_height-surface,swell2_direction-surface,swell2_period-surface,wind_u-surface,wind_v-surface,gust-surface,temp-surface,past3hprecip-surface,past3hsnowprecip-surface,past3hconvprecip-surface,ptype-surface,lclouds-surface,rh-surface,sg,timestamp,location
1.232160437,284.8780737,10.00917813,0.868784584,243.5381597,9.765168954,-0.10786041,-1.445463398,1.68302984,280.9344894,1.06E-05,0,1.09E-05,0,25.73381756,85.94387927,-0.23,"Tuesday, April 01, 2025 01:00:00",B
1.611692019,276.7680703,9.607750935,0.412018577,201.7977599,13.73300067,-0.95254975,-0.194288282,0.951105288,281.5892156,2.13E-05,0,2.20E-05,0,5.034931486,83.71032905,-1.13,"Tuesday, April 01, 2025 04:00:00",A
1.651813244,278.185262,9.674075725,0.408405144,201.8995404,13.64684491,1.63036271,0.849033962,3.010466028,284.481292,7.91E-05,0,8.07E-05,0,34.54529252,66.25059273,-0.46,"Tuesday, April 01, 2025 07:00:00",B
1.688174353,279.3720414,9.848537288,0.39817921,201.6746214,13.5893355,4.009220829,1.309241895,5.219264355,285.5712417,7.83E-05,0,7.97E-05,0,5.220374157,57.84848476,0.35,"Tuesday, April 01, 2025 10:00:00",A
1.758616503,281.6002686,10.30022858,0.362165401,200.2008264,14.31464701,5.278403377,-0.30663587,6.646685781,285.1349895,6.25E-06,0,6.02E-06,0,3.361235389,60.99325675,0.14,"Tuesday, April 01, 2025 01:00:00",B
1.770216857,283.2601337,10.49277641,0.697222576,269.9053169,14.17473743,3.346399737,-0.43109501,5.932580381,282.4984322,0,0,0,0,13.94786218,78.46847438,-0.22,"Tuesday, April 01, 2025 04:00:00",A
2.072626086,288.8635517,12.602421,0.372056962,200.828121,15.99655162,2.506934897,-1.089031799,4.43227125,281.7867543,1.06E-05,0,1.09E-05,0,9.198803674,85.45154711,0.46,"Tuesday, April 01, 2025 07:00:00",B
2.143428247,290.2356981,12.2369858,0.375549139,200.7863717,15.80326525,2.015120863,-1.40157196,4.280659648,281.4558743,0.000252476,0,0.000256298,0,56.7900998,86.7460672,0.95,"Tuesday, April 01, 2025 10:00:00",A
2.163428857,291.0217719,11.76494851,0.372466294,200.8553679,15.69967944,1.509271782,-2.654299838,4.77949236,280.8243978,0.000212343,0,0.000211497,1,2.927945799,86.40024549,0.17,"Wednesday, April 02, 2025 01:00:00",B
2.116507425,290.7954466,11.52398725,0.429009135,201.0248701,15.57318011,-0.067867737,-1.15501388,2.187498166,281.1488641,0,0,0,0,3.365691092,82.48051381,-0.98,"Wednesday, April 02, 2025 04:00:00",A
2.029464769,290.7314603,11.01061476,0.390056518,201.6765111,15.4694696,1.801101845,0.259118549,3.906509233,284.7737958,0,0,0,0,8.440357677,61.16376867,-0.79,"Wednesday, April 02, 2025 07:00:00",B
0.711544549,220.1213611,14.4692706,0.260032455,201.4151604,13.86850746,4.850653874,-1.419428736,5.618228294,287.0569041,0,0,0,0,4.51454207,49.18595001,0.04,"Wednesday, April 02, 2025 10:00:00",A
0.369254103,201.6836305,15.10946986,0.24617251,201.4655672,12.56830966,5.121503499,-2.815228208,6.003436418,286.5732754,0,0,0,0,0.876345103,51.28257344,0.24,"Wednesday, April 02, 2025 01:00:00",B
0.383294532,202.6212323,14.93527631,0.235942901,199.6675777,13.29596655,2.723540403,-3.193181103,5.064301148,282.8612294,0,0,0,0,0,72.96213227,-0.09,"Wednesday, April 02, 2025 04:00:00",A
1.284322029,267.4133659,11.08831999,0.330642478,199.061905,15.65737346,0.025565285,-2.720023125,3.653340114,280.920346,0,0,0,0,1.826789148,82.01388714,0.29,"Wednesday, April 02, 2025 07:00:00",B
1.460727412,293.5503305,9.505597781,0.421910139,202.6697934,14.70308418,-0.101760007,-1.767361544,2.130113252,280.0705468,0,0,0,0,0,83.20828028,0.84,"Wednesday, April 02, 2025 10:00:00",A
1.333883541,293.5186889,9.238549519,0.402030746,203.0871987,14.57944384,-0.518143389,-0.851945574,1.192977298,279.8019583,0,0,0,0,0,82.23794916,0.48,"Thursday, April 03, 2025 01:00:00",B
1.05695509,276.3453475,9.976991847,0.335690408,199.8852455,15.05079479,-0.357626549,-0.263148151,0.852148825,280.5704065,0,0,0,0,0,79.12261702,-0.62,"Thursday, April 03, 2025 04:00:00",A
0.987392967,276.6698056,9.846974382,0.329643768,200.0551433,14.8501932,0.062610803,1.436009476,1.390980808,284.9937975,0,0,0,0,0,60.1508851,-0.94,"Thursday, April 03, 2025 07:00:00",B
